id,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped
33,Jen,8,2,6,0,0,3,0,2018-06-18 16:08:38,2018-06-18 16:44:16,2018-06-18 16:45:46,1
34,Ed,0,0,0,9,9,0,0,2018-06-18 16:08:38,2018-06-18 16:44:17,2018-06-18 16:46:04,1
35,Gil,0,6,0,3,8,0,0,2018-06-18 16:08:38,2018-06-18 16:44:57,2018-06-18 16:47:13,1
36,Frida,8,5,1,6,0,5,0,2018-06-18 16:08:38,2018-06-18 16:46:13,2018-06-18 16:47:56,1
37,Cathy,4,0,8,2,7,3,0,2018-06-18 16:08:38,2018-06-18 16:46:50,2018-06-18 16:49:11,1
38,Cathy,7,0,0,0,9,4,0,2018-06-18 16:08:38,2018-06-18 16:48:04,2018-06-18 16:49:52,1
39,Lori,7,0,3,9,3,0,0,2018-06-18 16:08:38,2018-06-18 16:48:42,2018-06-18 16:50:51,1
40,Dan,0,0,0,7,4,4,0,2018-06-18 16:08:38,2018-06-18 16:49:53,2018-06-18 16:51:09,1
41,Teresa,6,2,7,6,1,2,0,2018-06-18 16:08:38,2018-06-18 16:49:54,2018-06-18 16:52:20,1
42,Denise,2,1,8,1,7,6,0,2018-06-18 16:08:38,2018-06-18 16:50:31,2018-06-18 16:53:26,1
43,Frank,0,0,4,2,5,0,0,2018-06-18 16:08:38,2018-06-18 16:51:58,2018-06-18 16:53:51,1
44,Jacqueline,2,5,7,4,3,3,0,2018-06-18 16:08:38,2018-06-18 16:52:51,2018-06-18 16:56:14,1
45,Brook,1,6,1,7,2,2,0,2018-06-18 16:08:39,2018-06-18 16:55:11,2018-06-18 16:56:40,1
46,Brook,3,7,4,9,0,5,0,2018-06-18 16:08:39,2018-06-18 16:55:11,2018-06-18 16:57:46,1
47,Erma,9,1,9,3,6,8,0,2018-06-18 16:08:39,2018-06-18 16:57:02,2018-06-18 16:58:33,1
48,Jeni,1,5,3,8,7,4,0,2018-06-18 16:08:39,2018-06-18 16:57:39,2018-06-18 16:59:34,1
49,Susan,1,5,5,5,6,1,0,2018-06-18 16:08:39,2018-06-18 16:58:23,2018-06-18 17:00:13,1
50,Stephen,4,3,8,7,2,10,0,2018-06-18 16:08:39,2018-06-18 16:59:05,2018-06-18 17:01:14,1
51,Jacqueline,7,9,3,3,3,4,0,2018-06-30 20:47:12,2018-06-30 17:02:09,2018-06-30 17:05:10,1
52,Jacqueline,8,4,3,8,4,3,0,2018-06-30 20:47:12,2018-06-30 17:03:24,2018-06-30 17:06:31,1
53,Frank,0,0,0,6,10,0,0,2018-06-30 20:47:13,2018-06-30 17:04:23,2018-06-30 17:07:14,1
54,Barbara,5,8,4,1,4,1,0,2018-06-30 20:47:13,2018-06-30 17:05:41,2018-06-30 17:08:56,1
55,Susan,8,2,7,1,3,8,0,2018-06-30 20:47:13,2018-06-30 17:06:56,2018-06-30 17:09:46,1
56,Brook,6,9,2,7,3,1,0,2018-06-30 20:47:13,2018-06-30 17:07:56,2018-06-30 17:10:50,1
57,Lou,0,0,0,4,1,0,0,2018-06-30 20:47:13,2018-06-30 17:09:41,2018-06-30 17:10:59,1
58,Sharon,2,0,2,9,9,6,0,2018-06-30 20:47:13,2018-06-30 17:09:41,2018-06-30 17:11:53,1
59,Jacqueline,8,9,7,3,4,7,0,2018-06-30 20:47:13,2018-06-30 17:10:24,2018-06-30 17:13:20,1
60,Stephen,0,0,0,3,2,7,0,2018-06-30 20:47:13,2018-06-30 17:12:15,2018-06-30 17:13:45,1
61,Rick,0,1,0,9,3,0,0,2018-06-30 20:47:13,2018-06-30 17:12:15,2018-06-30 17:14:28,1
62,Krystina,7,1,2,3,2,9,0,2018-06-30 20:47:13,2018-06-30 17:13:09,2018-06-30 17:15:18,1
63,Wilma,1,6,1,2,7,0,0,2018-06-30 20:47:13,2018-06-30 17:14:06,2018-06-30 17:16:07,1
64,Devon,0,0,0,1,3,7,0,2018-06-30 20:47:13,2018-06-30 17:15:05,2018-06-30 17:16:18,1
65,Allen,0,0,8,7,9,0,0,2018-06-30 20:47:13,2018-06-30 17:15:05,2018-06-30 17:17:46,1
66,Madeline,7,7,4,6,7,7,0,2018-06-30 20:47:13,2018-06-30 17:15:45,2018-06-30 17:19:30,1
67,Lou,4,10,6,5,7,4,0,2018-06-30 20:47:13,2018-06-30 17:18:12,2018-06-30 17:20:23,1
68,Roxana,2,0,1,3,4,6,0,2018-06-30 20:47:13,2018-06-30 17:19:13,2018-06-30 17:21:01,1
69,Lauren,8,8,3,7,4,6,0,2018-06-30 20:47:13,2018-06-30 17:20:04,2018-06-30 17:22:15,1
70,Denise,8,0,3,4,0,1,0,2018-06-30 20:47:13,2018-06-30 17:20:43,2018-06-30 17:23:41,1
71,Brook,7,8,1,9,1,3,0,2018-06-30 20:47:13,2018-06-30 17:21:51,2018-06-30 17:24:53,1
72,Alison,9,1,7,9,8,8,0,2018-06-30 20:47:13,2018-06-30 17:23:17,2018-06-30 17:26:45,1
73,Lou,0,5,0,10,3,0,0,2018-06-30 20:47:13,2018-06-30 17:25:31,2018-06-30 17:27:24,1
74,Cathy,7,3,5,4,0,4,0,2018-06-30 20:47:13,2018-06-30 17:26:29,2018-06-30 17:28:26,1
75,Karen,2,9,0,7,0,0,0,2018-06-30 20:47:13,2018-06-30 17:27:16,2018-06-30 17:28:49,1
76,Leslie,7,7,8,4,0,0,0,2018-06-30 20:47:13,2018-06-30 17:27:16,2018-06-30 17:30:00,1
77,Sherrie,8,6,3,4,9,0,0,2018-06-30 20:47:13,2018-06-30 17:29:10,2018-06-30 17:30:55,1
78,Zelda,1,7,0,3,8,6,0,2018-06-30 20:47:14,2018-06-30 17:29:59,2018-06-30 17:31:45,1
79,Zelda,3,2,2,9,7,4,0,2018-06-30 20:47:14,2018-06-30 17:30:50,2018-06-30 17:32:44,1
80,Jacqueline,4,4,4,0,7,3,0,2018-06-30 20:47:14,2018-06-30 17:31:38,2018-06-30 17:34:12,1
81,Zelda,1,7,9,2,7,6,0,2018-06-30 21:35:49,2018-06-30 17:35:50,2018-06-30 17:40:02,1
82,Cayce,5,4,8,1,5,1,0,2018-06-30 21:35:49,2018-06-30 17:38:02,2018-06-30 17:41:17,1
83,Blaine,7,10,8,1,7,1,0,2018-06-30 21:35:49,2018-06-30 17:40:05,2018-06-30 17:42:10,1
84,Rick,1,9,4,7,3,9,0,2018-06-30 21:35:49,2018-06-30 17:40:41,2018-06-30 17:43:48,1
85,Jeni,2,8,3,2,5,9,0,2018-06-30 21:35:49,2018-06-30 17:42:51,2018-06-30 17:44:48,1
86,Krystina,6,0,8,7,8,4,0,2018-06-30 21:35:49,2018-06-30 17:43:43,2018-06-30 17:45:43,1
87,Roxana,7,7,2,2,3,7,0,2018-06-30 21:35:49,2018-06-30 17:44:31,2018-06-30 17:46:45,1
88,Allen,9,5,2,9,10,2,0,2018-06-30 21:35:49,2018-06-30 17:45:18,2018-06-30 17:48:17,1
89,Roxana,7,3,6,9,8,5,0,2018-06-30 21:35:49,2018-06-30 17:47:09,2018-06-30 17:49:15,1
90,Lori,6,9,4,8,6,2,0,2018-06-30 21:35:49,2018-06-30 17:48:48,2018-06-30 17:50:46,1
91,Madeline,9,1,5,9,1,5,0,2018-06-30 21:35:49,2018-06-30 17:49:30,2018-06-30 17:51:45,1
92,Sharon,2,7,8,0,5,0,0,2018-06-30 21:35:49,2018-06-30 17:50:35,2018-06-30 17:52:36,1
93,Gil,0,0,0,8,7,0,0,2018-06-30 21:35:49,2018-06-30 17:51:25,2018-06-30 17:53:20,1
94,Frank,0,0,0,6,7,4,0,2018-06-30 21:35:49,2018-06-30 17:52:09,2018-06-30 17:53:39,1
95,Jacqueline,5,5,0,5,0,8,0,2018-06-30 21:35:49,2018-06-30 17:52:09,2018-06-30 17:54:26,1
96,Roxana,3,5,7,0,6,9,0,2018-06-30 21:35:49,2018-06-30 17:53:02,2018-06-30 17:55:45,1
97,Denise,9,3,6,5,6,7,0,2018-06-30 21:35:49,2018-06-30 17:54:41,2018-06-30 17:56:53,1
98,Brook,3,1,3,8,9,5,0,2018-06-30 21:35:49,2018-06-30 17:55:35,2018-06-30 17:57:43,1
99,Marisa,2,3,1,3,2,8,0,2018-06-30 21:35:49,2018-06-30 17:56:25,2018-06-30 17:58:39,1
100,Cayce,7,2,4,7,1,3,0,2018-06-30 21:35:49,2018-06-30 17:57:16,2018-06-30 17:59:24,1
