OrderID,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped
34,Ed,0,0,0,9,9,0,0,6/18/2018 16:08,6/18/2018 16:44,6/18/2018 16:46,1
35,Gil,0,6,0,3,8,0,0,6/18/2018 16:08,6/18/2018 16:44,6/18/2018 16:47,1
36,Frida,8,5,1,6,0,5,0,6/18/2018 16:08,6/18/2018 16:46,6/18/2018 16:47,1
37,Cathy,4,0,8,2,7,3,0,6/18/2018 16:08,6/18/2018 16:46,6/18/2018 16:49,1
38,Cathy,7,0,0,0,9,4,0,6/18/2018 16:08,6/18/2018 16:48,6/18/2018 16:49,1
39,Lori,7,0,3,9,3,0,0,6/18/2018 16:08,6/18/2018 16:48,6/18/2018 16:50,1
40,Dan,0,0,0,7,4,4,0,6/18/2018 16:08,6/18/2018 16:49,6/18/2018 16:51,1
41,Teresa,6,2,7,6,1,2,0,6/18/2018 16:08,6/18/2018 16:49,6/18/2018 16:52,1
42,Denise,2,1,8,1,7,6,0,6/18/2018 16:08,6/18/2018 16:50,6/18/2018 16:53,1
43,Frank,0,0,4,2,5,0,0,6/18/2018 16:08,6/18/2018 16:51,6/18/2018 16:53,1
44,Jacqueline,2,5,7,4,3,3,0,6/18/2018 16:08,6/18/2018 16:52,6/18/2018 16:56,1
45,Brook,1,6,1,7,2,2,0,6/18/2018 16:08,6/18/2018 16:55,6/18/2018 16:56,1
46,Brook,3,7,4,9,0,5,0,6/18/2018 16:08,6/18/2018 16:55,6/18/2018 16:57,1
47,Erma,9,1,9,3,6,8,0,6/18/2018 16:08,6/18/2018 16:57,6/18/2018 16:58,1
48,Jeni,1,5,3,8,7,4,0,6/18/2018 16:08,6/18/2018 16:57,6/18/2018 16:59,1
49,Susan,1,5,5,5,6,1,0,6/18/2018 16:08,6/18/2018 16:58,6/18/2018 17:00,1
50,Stephen,4,3,8,7,2,10,0,6/18/2018 16:08,6/18/2018 16:59,6/18/2018 17:01,1
51,Jacqueline,7,9,3,3,3,4,0,6/30/2018 20:47,6/30/2018 17:02,6/30/2018 17:05,1
52,Jacqueline,8,4,3,8,4,3,0,6/30/2018 20:47,6/30/2018 17:03,6/30/2018 17:06,1
53,Frank,0,0,0,6,10,0,0,6/30/2018 20:47,6/30/2018 17:04,6/30/2018 17:07,1
54,Barbara,5,8,4,1,4,1,0,6/30/2018 20:47,6/30/2018 17:05,6/30/2018 17:08,1
55,Susan,8,2,7,1,3,8,0,6/30/2018 20:47,6/30/2018 17:06,6/30/2018 17:09,1
56,Brook,6,9,2,7,3,1,0,6/30/2018 20:47,6/30/2018 17:07,6/30/2018 17:10,1
57,Lou,0,0,0,4,1,0,0,6/30/2018 20:47,6/30/2018 17:09,6/30/2018 17:10,1
58,Sharon,2,0,2,9,9,6,0,6/30/2018 20:47,6/30/2018 17:09,6/30/2018 17:11,1
59,Jacqueline,8,9,7,3,4,7,0,6/30/2018 20:47,6/30/2018 17:10,6/30/2018 17:13,1
60,Stephen,0,0,0,3,2,7,0,6/30/2018 20:47,6/30/2018 17:12,6/30/2018 17:13,1
61,Rick,0,1,0,9,3,0,0,6/30/2018 20:47,6/30/2018 17:12,6/30/2018 17:14,1
62,Krystina,7,1,2,3,2,9,0,6/30/2018 20:47,6/30/2018 17:13,6/30/2018 17:15,1
63,Wilma,1,6,1,2,7,0,0,6/30/2018 20:47,6/30/2018 17:14,6/30/2018 17:16,1
64,Devon,0,0,0,1,3,7,0,6/30/2018 20:47,6/30/2018 17:15,6/30/2018 17:16,1
65,Allen,0,0,8,7,9,0,0,6/30/2018 20:47,6/30/2018 17:15,6/30/2018 17:17,1
66,Madeline,7,7,4,6,7,7,0,6/30/2018 20:47,6/30/2018 17:15,6/30/2018 17:19,1
67,Lou,4,10,6,5,7,4,0,6/30/2018 20:47,6/30/2018 17:18,6/30/2018 17:20,1
68,Roxana,2,0,1,3,4,6,0,6/30/2018 20:47,6/30/2018 17:19,6/30/2018 17:21,1
69,Lauren,8,8,3,7,4,6,0,6/30/2018 20:47,6/30/2018 17:20,6/30/2018 17:22,1
70,Denise,8,0,3,4,0,1,0,6/30/2018 20:47,6/30/2018 17:20,6/30/2018 17:23,1
71,Brook,7,8,1,9,1,3,0,6/30/2018 20:47,6/30/2018 17:21,6/30/2018 17:24,1
72,Alison,9,1,7,9,8,8,0,6/30/2018 20:47,6/30/2018 17:23,6/30/2018 17:26,1
73,Lou,0,5,0,10,3,0,0,6/30/2018 20:47,6/30/2018 17:25,6/30/2018 17:27,1
74,Cathy,7,3,5,4,0,4,0,6/30/2018 20:47,6/30/2018 17:26,6/30/2018 17:28,1
75,Karen,2,9,0,7,0,0,0,6/30/2018 20:47,6/30/2018 17:27,6/30/2018 17:28,1
76,Leslie,7,7,8,4,0,0,0,6/30/2018 20:47,6/30/2018 17:27,6/30/2018 17:30,1
77,Sherrie,8,6,3,4,9,0,0,6/30/2018 20:47,6/30/2018 17:29,6/30/2018 17:30,1
78,Zelda,1,7,0,3,8,6,0,6/30/2018 20:47,6/30/2018 17:29,6/30/2018 17:31,1
79,Zelda,3,2,2,9,7,4,0,6/30/2018 20:47,6/30/2018 17:30,6/30/2018 17:32,1
80,Jacqueline,4,4,4,0,7,3,0,6/30/2018 20:47,6/30/2018 17:31,6/30/2018 17:34,1
81,Zelda,1,7,9,2,7,6,0,6/30/2018 21:35,6/30/2018 17:35,6/30/2018 17:40,1
82,Cayce,5,4,8,1,5,1,0,6/30/2018 21:35,6/30/2018 17:38,6/30/2018 17:41,1
83,Blaine,7,10,8,1,7,1,0,6/30/2018 21:35,6/30/2018 17:40,6/30/2018 17:42,1
84,Rick,1,9,4,7,3,9,0,6/30/2018 21:35,6/30/2018 17:40,6/30/2018 17:43,1
85,Jeni,2,8,3,2,5,9,0,6/30/2018 21:35,6/30/2018 17:42,6/30/2018 17:44,1
86,Krystina,6,0,8,7,8,4,0,6/30/2018 21:35,6/30/2018 17:43,6/30/2018 17:45,1
87,Roxana,7,7,2,2,3,7,0,6/30/2018 21:35,6/30/2018 17:44,6/30/2018 17:46,1
88,Allen,9,5,2,9,10,2,0,6/30/2018 21:35,6/30/2018 17:45,6/30/2018 17:48,1
89,Roxana,7,3,6,9,8,5,0,6/30/2018 21:35,6/30/2018 17:47,6/30/2018 17:49,1
90,Lori,6,9,4,8,6,2,0,6/30/2018 21:35,6/30/2018 17:48,6/30/2018 17:50,1
91,Madeline,9,1,5,9,1,5,0,6/30/2018 21:35,6/30/2018 17:49,6/30/2018 17:51,1
92,Sharon,2,7,8,0,5,0,0,6/30/2018 21:35,6/30/2018 17:50,6/30/2018 17:52,1
93,Gil,0,0,0,8,7,0,0,6/30/2018 21:35,6/30/2018 17:51,6/30/2018 17:53,1
94,Frank,0,0,0,6,7,4,0,6/30/2018 21:35,6/30/2018 17:52,6/30/2018 17:53,1
95,Jacqueline,5,5,0,5,0,8,0,6/30/2018 21:35,6/30/2018 17:52,6/30/2018 17:54,1
96,Roxana,3,5,7,0,6,9,0,6/30/2018 21:35,6/30/2018 17:53,6/30/2018 17:55,1
97,Denise,9,3,6,5,6,7,0,6/30/2018 21:35,6/30/2018 17:54,6/30/2018 17:56,1
98,Brook,3,1,3,8,9,5,0,6/30/2018 21:35,6/30/2018 17:55,6/30/2018 17:57,1
99,Marisa,2,3,1,3,2,8,0,6/30/2018 21:35,6/30/2018 17:56,6/30/2018 17:58,1
100,Cayce,7,2,4,7,1,3,0,6/30/2018 21:35,6/30/2018 17:57,6/30/2018 17:59,1
